year_count,top_500
1993.418207,420000000
1993.837098,470000000
1994.417522,840000000
1994.836413,1160000000
1995.416838,1960000000
1995.835729,2490000000
1996.418891,3310000000
1996.837782,4620000000
1997.418207,7670000000
1997.837098,9510000000
1998.417522,13390000000
1998.836413,17120000000
1999.416838,24700000000
1999.835729,33090000000
2000.418891,43820000000
2000.837782,55300000000
2001.418207,67780000000
2001.837098,94300000000
2002.417522,1.343E+11
2002.836413,1.958E+11
2003.416838,2.414E+11
2003.835729,3.786E+11
2004.418891,6.069E+11
2004.837782,8.4002E+11
2005.418207,1.166E+12
2005.837098,1.6457E+12
2006.417522,2.026E+12
2006.836413,2.7369E+12
2007.416838,4.031E+12
2007.835729,5.93733E+12
2008.418891,8.99678E+12
2008.837782,1.25935E+13
2009.418207,1.711E+13
2009.837098,2.007E+13
2010.417522,2.467E+13
2010.836413,3.11244E+13
2011.416838,4.01873E+13
2011.835729,5.09414E+13
2012.418891,6.08244E+13
2012.837782,7.6411E+13
2013.418207,9.6646E+13
2013.837098,1.17992E+14
2014.417522,1.34249E+14
2014.836413,1.53358E+14
2015.416838,1.64791E+14
2015.835729,2.064E+14
2016.418891,2.8624E+14
2016.837782,3.504E+14
2017.418207,4.333E+14
2017.837098,5.48672E+14
2018.417522,7.15551E+14
2018.836413,8.748E+14
2019.416838,1.021E+15
2019.835729,1.142E+15
2020.418891,1.228E+15
2020.837782,1.31684E+15
2021.418207,1.511E+15
2021.837098,1.64911E+15
