Year Count,Parameters,,,,,,
2020.462697,1.36E+09,,,,,,
2020.462697,6.80E+09,,,,,,
2020.498289,6.00E+11,,,,,,
2020.498289,2.30E+09,,,,,,
2020.572211,5.20E+07,,,,,,
2020.810404,3.17E+08,,,,,,
2020.810404,8.60E+07,,,,,,
2020.810404,6.32E+08,,,,,,
2020.821355,7.95E+08,,,,,,
2020.898015,1.10E+08,,,,,,
2020.919918,2.60E+09,,,,,,
2021.002053,1.50E+09,,,,,,
2021.004791,3.00E+12,,,,,,
2021.004791,1.90E+09,,,,,,
2021.004791,1.50E+09,,,,,,
2021.004791,8.00E+09,,,,,,
2021.004791,1.60E+09,,,,,,
2021.004791,2.60E+11,,,,,,
2021.015743,3.70E+08,,,,,,
2021.015743,1.20E+10,,,,,,
2021.015743,8.86E+07,,,,,,
2021.03217,1.60E+12,,,,,,
2021.034908,1.37E+11,,,,,,
2021.136208,1.68E+06,,,,,,
2021.166324,4.80E+08,,,,,,
2021.166324,1.00E+10,,,,,,
2021.166324,1.00E+11,,,,,,
2021.166324,2.60E+09,,,,,,
2021.166324,1.00E+09,,,,,,
2021.166324,1.13E+10,,,,,,
2021.177276,9.40E+09,,,,,,
2021.177276,1.00E+12,,,,,,
2021.221081,2.70E+09,,,,,,
2021.273101,1.00E+12,,,,,,
2021.281314,1.20E+13,,,,,,
2021.316906,2.07E+11,,,,,,
2021.333333,6.05E+09,,,,,,
2021.341547,1.10E+10,,,,,,
2021.399042,2.04E+11,,,,,,
2021.40178,4.00E+09,,,,,,
2021.418207,1.75E+12,,,,,,
2021.437372,1.80E+09,,,,,,
2020.468172,2.56E+08,,,,,,
2021.445585,8.20E+08,,,,,,
2021.511294,1.00E+10,,,,,,
2021.516769,1.20E+10,,,,,,
2021.453799,1.00E+09,,,,,,
2021.571526,3.50E+06,,,,,,
2021.577002,1.30E+09,,,,,,
2021.612594,1.78E+11,,,,,,
2021.629021,1.07E+10,,,,,,
2021.678303,1.35E+11,,,,,,
2021.771389,1.00E+13,,,,,,
2021.779603,5.30E+11,,,,,,
2021.790554,1.10E+10,,,,,,
2021.861739,2.45E+11,,,,,,
2021.938398,2.80E+11,,,,,,
2021.938398,7.50E+09,,,,,,
2021.971253,3.50E+09,,,,,,
2022.056126,1.37E+11,,,,,,
2022.16564,1.20E+10,,,,,,
2022.286105,3.50E+09,,,,,,
2022.250513,1.45E+13,,,,,,
2022.2423,7.00E+10,,,,,,
2022.258727,5.40E+11,,,,,,
