x,y,name
2010.806297,6.99316E+12,Radeon HD 6870
2010.806297,6.89177E+12,Radeon HD 6850
2010.934976,3.33995E+12,GeForce GTX 570
2010.954141,6.07296E+12,Radeon HD 6970
2011.069131,5.69089E+12,GeForce GTX 560 Ti
2011.088296,6.62523E+12,GeForce GT 440 DDR3 / GT 630 D2/1/2011
2011.18412,6.13946E+12,Radeon HD 6990
2011.203285,5.20693E+12,GeForce GTX 550 Ti
2011.227926,2.9963E+12,GeForce GTX 590
2011.258042,6.73739E+12,Radeon HD 6790
2011.266256,3.67186E+12,Radeon HD 6450 / 7470
2011.282683,4.43553E+12,GeForce GT 520 / GT 610
2011.29911,6.52775E+12,Radeon HD 6670 / 7670
2011.29911,6.54844E+12,Radeon HD 6570 / 7570
2011.37577,5.54777E+12,GeForce GTX 560 Ti 448 cores
2011.37577,6.13975E+12,GeForce GTX 560
2011.731691,5.8945E+12,GTX 460 v2
2011.772758,2.66774E+12,GeForce GTX 580
2011.953457,6.34056E+12,Radeon HD 6950
2011.975359,5.94545E+12,Radeon HD 7970
2012.084873,5.53223E+12,Radeon HD 7950
2012.125941,6.50993E+12,Radeon HD 7750 / R7 250E
2012.17796,6.35526E+12,Radeon HD 7870
2012.17796,6.12744E+12,Radeon HD 7850
2012.205339,6.9748E+12,Radeon HD 7770 GE / R7 250X
2012.224504,5.64289E+12,GeForce GTX 680
2012.339493,5.42997E+12,GeForce GTX 690
2012.358658,5.71955E+12,GeForce GTX 670 / 760 Ti
2012.429843,9.08408E+12,GeForce GT 640
2012.476386,7.46772E+12,Radeon HD 7970 GE
2012.476386,6.3967E+12,Radeon HD 7950 Boost
2012.626968,7.63244E+12,GeForce GTX 660 Ti
2012.684463,7.5025E+12,GeForce GTX 660
2012.70089,6.46224E+12,GeForce GTX 650
2012.774812,8.26279E+12,GeForce GTX 650 Ti
2012.887064,9.61063E+12,Radeon HD 7870 XT
2013.138946,4.15488E+12,GeForce GTX Titan
2013.223819,1.0601E+13,Radeon HD 7790
2013.234771,8.27724E+12,GeForce GTX 650 Ti Boost
2013.314168,7.22803E+12,Radeon HD 7990
2013.333333,9.17301E+12,Radeon HD 7730
2013.341547,1.05647E+13,Radeon R9 280
2013.393566,6.29643E+12,GeForce GTX 780
2013.409993,1.19342E+13,GeForce GT 640 Rev 2
2013.412731,7.36305E+12,GeForce GTX 770
2013.483915,8.42506E+12,GeForce GTX 760
2013.768652,6.7401E+12,GeForce GTX 780 Ti
2013.771389,1.20749E+13,Radeon R9 280X
2013.771389,1.19062E+13,Radeon R9 270X
2013.771389,1.24988E+13,Radeon R7 260X
2013.771389,7.98253E+12,Radeon R7 250
2013.785079,1.16607E+13,Radeon R9 270 / 8860
2013.815195,9.04244E+12,Radeon R9 290X
2013.848049,1.07121E+13,Radeon R9 290
2013.963039,1.24211E+13,Radeon R7 260
2014.121834,1.13728E+13,Radeon R7 265
2014.135524,5.05561E+12,GeForce GTX Titan Black
2014.135524,8.34047E+12,GeForce GTX 750 Ti
2014.135524,8.35299E+12,GeForce GTX 750
2014.236824,8.39917E+12,GeForce GT 720 DDR3
2014.327173,6.8442E+12,Radeon R9 295X2
2014.409309,7.67025E+12,GeForce GT 740 GDDR5
2014.672142,1.18215E+13,Radeon R9 285
2014.718686,8.11744E+12,GeForce GTX 980
2014.718686,1.06602E+13,GeForce GTX 970
2015.060917,1.09309E+13,GeForce GTX 960
2015.208761,5.96017E+12,GeForce GTX Titan X
2015.419576,8.40908E+12,GeForce GTX 980 Ti
2015.463381,1.24272E+13,Radeon R9 390X
2015.463381,1.40289E+13,Radeon R9 390
2015.463381,1.20821E+13,Radeon R7 370
2015.463381,1.33153E+13,Radeon R7 360
2015.545517,1.57644E+13,Radeon R9 380 2GB
2015.635866,1.03471E+13,GeForce GTX 950
2015.655031,1.13788E+13,Radeon R9 Nano
