year_count,1000_gpu,top_sum,top_1,top_500
2011.18412,6.14E+12,,,
2011.203285,5.21E+12,,,
2011.227926,3.00E+12,,,
2011.258042,6.74E+12,,,
2011.266256,3.67E+12,,,
2011.282683,4.44E+12,,,
2011.29911,6.53E+12,,,
2011.29911,6.55E+12,,,
2011.37577,5.55E+12,,,
2011.37577,6.14E+12,,,
2011.416838,,5.893E+16,8.162E+15,4.01873E+13
2011.731691,5.89E+12,,,
2011.772758,2.67E+12,,,
2011.835729,,7.40696E+16,1.051E+16,5.09414E+13
2011.953457,6.34E+12,,,
2011.975359,5.95E+12,,,
2012.084873,5.53E+12,,,
2012.125941,6.51E+12,,,
2012.17796,6.36E+12,,,
2012.17796,6.13E+12,,,
2012.205339,6.97E+12,,,
2012.224504,5.64E+12,,,
2012.339493,5.43E+12,,,
2012.358658,5.72E+12,,,
2012.418891,,1.23418E+17,1.63248E+16,6.08244E+13
2012.429843,9.08E+12,,,
2012.476386,7.47E+12,,,
2012.476386,6.40E+12,,,
2012.626968,7.63E+12,,,
2012.684463,7.50E+12,,,
2012.70089,6.46E+12,,,
2012.774812,8.26E+12,,,
2012.837782,,1.62139E+17,1.759E+16,7.6411E+13
2012.887064,9.61E+12,,,
2013.138946,4.15E+12,,,
2013.223819,1.06E+13,,,
2013.234771,8.28E+12,,,
2013.314168,7.23E+12,,,
2013.333333,9.17E+12,,,
2013.341547,1.06E+13,,,
2013.393566,6.30E+12,,,
2013.409993,1.19E+13,,,
2013.412731,7.36E+12,,,
2013.418207,,2.28567E+17,3.38627E+16,9.6646E+13
2013.483915,8.43E+12,,,
2013.768652,6.74E+12,,,
2013.771389,1.21E+13,,,
2013.771389,1.19E+13,,,
2013.771389,1.25E+13,,,
2013.771389,7.98E+12,,,
2013.785079,1.17E+13,,,
2013.815195,9.04E+12,,,
2013.837098,,2.54971E+17,3.38627E+16,1.17992E+14
2013.848049,1.07E+13,,,
2013.963039,1.24E+13,,,
2014.121834,1.14E+13,,,
2014.135524,5.06E+12,,,
2014.135524,8.34E+12,,,
2014.135524,8.35E+12,,,
2014.236824,8.40E+12,,,
2014.327173,6.84E+12,,,
2014.409309,7.67E+12,,,
2014.417522,,2.78639E+17,3.38627E+16,1.34249E+14
2014.672142,1.18E+13,,,
2014.718686,8.12E+12,,,
2014.718686,1.07E+13,,,
2014.836413,,3.13022E+17,3.38627E+16,1.53358E+14
2015.060917,1.09E+13,,,
2015.208761,5.96E+12,,,
2015.416838,,3.6414E+17,3.38627E+16,1.64791E+14
2015.419576,8.41E+12,,,
2015.463381,1.24E+13,,,
2015.463381,1.40E+13,,,
2015.463381,1.21E+13,,,
2015.463381,1.33E+13,,,
2015.545517,1.58E+13,,,
2015.635866,1.03E+13,,,
2015.655031,1.14E+13,,,
2015.655031,1.33E+13,,,
2015.835729,,4.2261E+17,3.38627E+16,2.064E+14
2015.88501,1.57E+13,,,
2016.405202,1.35E+13,,,
2016.418891,,5.72076E+17,9.30146E+16,2.8624E+14
2016.443532,1.55E+13,,,
2016.495551,2.31E+13,,,
2016.550308,1.33E+13,,,
2016.588638,8.31E+12,,,
2016.594114,2.51E+13,,,
2016.632444,1.80E+13,,,
2016.818617,1.40E+13,,,
2016.818617,1.55E+13,,,
2016.837782,,6.76772E+17,9.30146E+16,3.504E+14
2017.190965,1.50E+13,,,
2017.264887,9.39E+12,,,
2017.297741,2.50E+13,,,
2017.297741,2.79E+13,,,
2017.297741,1.22E+13,,,
2017.303217,1.65E+13,,,
2017.303217,1.36E+13,,,
2017.303217,1.42E+13,,,
2017.377139,1.32E+13,,,
2017.418207,,7.53277E+17,9.30146E+16,4.333E+14
2017.601643,1.82E+13,,,
2017.601643,2.35E+13,,,
2017.620808,2.45E+13,,,
2017.754962,1.90E+13,,,
2017.837098,,8.49581E+17,9.30146E+16,5.48672E+14
2018.195756,1.35E+13,,,
2018.417522,,1.21091E+18,1.223E+17,7.15551E+14
2018.721424,1.27E+13,,,
2018.721424,1.36E+13,,,
2018.795346,1.42E+13,,,
2018.836413,,1.41496E+18,1.435E+17,8.748E+14
2018.874743,2.41E+13,,,
2019.019849,1.78E+13,,,
2019.145791,1.88E+13,,,
2019.181383,1.91E+13,,,
2019.200548,2.21E+13,,,
2019.310062,1.93E+13,,,
2019.416838,,1.55958E+18,1.486E+17,1.021E+15
2019.5154,2.17E+13,,,
2019.5154,2.07E+13,,,
2019.520876,1.74E+13,,,
2019.559206,1.54E+13,,,
2019.827515,2.12E+13,,,
2019.835729,,1.64689E+18,1.486E+17,1.142E+15
2019.893224,2.68E+13,,,
2019.947981,2.97E+13,,,
2020.057495,2.54E+13,,,
2020.251882,1.89E+13,,,
2020.418891,,2.20613E+18,4.1553E+17,1.228E+15
2020.5859,2.35E+13,,,
2020.670773,4.02E+13,,,
2020.714579,4.20E+13,,,
2020.826831,2.28E+13,,,
2020.826831,3.15E+13,,,
2020.826831,2.75E+13,,,
2020.837782,,2.42876E+18,4.4201E+17,1.31684E+15
2020.919918,4.00E+13,,,
2021.034908,3.87E+13,,,
2021.1718,2.76E+13,,,
2021.415469,2.84E+13,,,
2021.415469,3.63E+13,,,
2021.418207,,2.78606E+18,4.4201E+17,1.511E+15
2021.57974,2.80E+13,,,
2021.785079,3.10E+13,,,
2021.826146,2.50E+13,,,
2021.837098,,3.03686E+18,4.4201E+17,1.64911E+15
